filename Total_reads Mapped_read Total_reads_minusSexAndUnknownChr Mapped_reads_minusSexAndUnknownChr
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04894-L1_S22_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 5775648 4977717 5119914 4321983
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04895-L1_S23_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11262015 8900275 9872643 7510903
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04896-L1_S24_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 19853870 17049738 17517474 14713342
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04897-L1_S25_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11690428 9567175 10278526 8155273
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04898-L1_S26_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11037208 8896585 9654965 7514342
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04899-L1_S27_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11376217 9770931 10171224 8565938
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04900-L1_S28_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12768680 11360896 11344486 9936702
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04901-L1_S29_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9405795 8099354 8277603 6971162
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04902-L1_S30_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10824988 9119847 9468738 7763597
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04903-L1_S31_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 6257189 5367860 5526024 4636695
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04904-L1_S32_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8502453 7288734 7548805 6335086
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04905-L1_S33_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10470071 9191189 9362702 8083820
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04906-L1_S34_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9549069 8188190 8368397 7007518
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04907-L1_S35_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9154859 7566954 8026131 6438226
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04908-L1_S36_L002_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8884905 6766055 7735367 5616517
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04909-L1_S37_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 7778243 6708161 6934939 5864857
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04910-L1_S38_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11813284 10145967 10364445 8697128
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04911-L1_S39_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11533176 9683979 10181710 8332513
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04912-L1_S40_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10486319 9139118 9220582 7873381
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04913-L1_S41_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 6701724 5616939 5899023 4814238
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04914-L1_S42_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 13099208 11134647 11571402 9606841
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04915-L1_S43_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11679131 9710203 10160212 8191284
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04916-L1_S44_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9888355 8575897 8714554 7402096
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04917-L1_S45_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12203768 10348671 10665823 8810726
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04918-L1_S46_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8266574 7037470 7237593 6008489
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04919-L1_S47_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 13260440 11395071 11675564 9810195
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04920-L1_S48_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12778634 10723775 11269260 9214401
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04921-L1_S49_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11856015 9715344 10270004 8129333
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04922-L1_S50_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9267243 7719047 8062115 6513919
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04923-L1_S51_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10654558 8780521 9233395 7359358
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04924-L1_S52_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11057943 9232180 9738789 7913026
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04925-L1_S53_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12405614 10512780 10940697 9047863
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04926-L1_S54_L003_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12887743 10820985 11248324 9181566
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04927-L1_S55_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8554296 7215310 7506375 6167389
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04928-L1_S56_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10116605 8397879 8840241 7121515
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04929-L1_S57_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8770390 7032923 7646062 5908595
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04930-L1_S58_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 13554166 11616514 11955331 10017679
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04931-L1_S59_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10316307 8603491 9091032 7378216
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04932-L1_S60_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10331985 8913681 9083203 7664899
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04933-L1_S61_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9251030 8072024 8195246 7016240
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04934-L1_S62_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11645225 10212492 10248422 8815689
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04935-L1_S63_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10344705 9060420 9131648 7847363
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04936-L1_S64_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10694079 9476409 9446046 8228376
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04937-L1_S65_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9531051 8200507 8442377 7111833
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04938-L1_S66_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10403425 9098889 9165748 7861212
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04939-L1_S67_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12337101 10791752 11020088 9474739
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04940-L1_S68_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10803122 9432774 9591519 8221171
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04941-L1_S69_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12850407 10672108 11300423 9122124
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04942-L1_S70_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 7188729 6185931 6382576 5379778
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04943-L1_S71_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10992371 9406385 9718034 8132048
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04944-L1_S72_L004_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 13533121 10532826 11788594 8788299
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04945-L1_S73_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12192691 9068322 10546394 7422025
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04946-L1_S74_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11318797 9650496 10017689 8349388
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04947-L1_S75_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10352261 8678964 9100376 7427079
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04948-L1_S76_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11319625 9019916 9929928 7630219
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04949-L1_S77_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11085648 9380123 9782791 8077266
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04950-L1_S78_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12320070 10338286 10935440 8953656
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04951-L1_S79_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 7218033 6053157 6371585 5206709
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04952-L1_S80_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11251408 9101567 9886669 7736828
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04953-L1_S81_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12457559 10295463 10972362 8810266
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04954-L1_S82_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9844150 8442229 8747954 7346033
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04955-L1_S83_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10858377 9065447 9602235 7809305
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04956-L1_S84_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11657957 10188279 10273512 8803834
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04957-L1_S85_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11129266 9754537 9934646 8559917
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04958-L1_S86_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10044262 8554251 8930148 7440137
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04959-L1_S87_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10146504 8696807 8943142 7493445
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04960-L1_S88_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10009818 8385757 8774968 7150907
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04961-L1_S89_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9970426 8445500 8847865 7322939
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04962-L1_S90_L005_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10727959 8720615 9359217 7351873
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04963-L1_S91_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12082475 10180630 10702824 8800979
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04964-L1_S92_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9586125 8505545 8508922 7428342
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04965-L1_S93_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10924126 9424331 9718551 8218756
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04966-L1_S94_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8297889 7046185 7382029 6130325
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04967-L1_S95_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9427259 8065574 8397856 7036171
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04968-L1_S96_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10330262 8922875 9168809 7761422
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04969-L1_S97_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12808970 10844772 11263664 9299466
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04970-L1_S98_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10523510 9053347 9208688 7738525
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04971-L1_S99_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10110256 8796845 8988846 7675435
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04972-L1_S100_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12034606 10239677 10610275 8815346
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04973-L1_S101_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10274659 8858998 9143979 7728318
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04974-L1_S102_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10607665 9228549 9417566 8038450
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04975-L1_S103_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10723194 9343406 9451635 8071847
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04976-L1_S104_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9309529 8139636 8277848 7107955
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04977-L1_S105_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10564903 9235970 9269999 7941066
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04978-L1_S106_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10021775 8587580 8741207 7307012
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04979-L1_S107_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11417946 9826643 10094568 8503265
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04980-L1_S108_L006_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11523114 9720054 10114185 8311125
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04981-L1_S109_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12359162 11023185 10900777 9564800
